강의실,요일,시간,합계
국제교육관,월,1,0
국제교육관,월,2,35
국제교육관,월,3,0
국제교육관,월,4,50
국제교육관,월,5,0
국제교육관,월,6,55
국제교육관,월,7,0
국제교육관,월,8,40
국제교육관,월,9,0
국제교육관,월,10,0
국제교육관,월,11,0
국제교육관,월,12,0
국제교육관,월,13,0
국제교육관,월,14,0
국제교육관,월,15,0
국제교육관,화,1,14
국제교육관,화,2,90
국제교육관,화,3,14
국제교육관,화,4,90
국제교육관,화,5,0
국제교육관,화,6,128
국제교육관,화,7,0
국제교육관,화,8,128
국제교육관,화,9,6
국제교육관,화,10,0
국제교육관,화,11,0
국제교육관,화,12,0
국제교육관,화,13,0
국제교육관,화,14,0
국제교육관,화,15,0
국제교육관,수,1,115
국제교육관,수,2,0
국제교육관,수,3,115
국제교육관,수,4,0
국제교육관,수,5,0
국제교육관,수,6,113
국제교육관,수,7,14
국제교육관,수,8,99
국제교육관,수,9,0
국제교육관,수,10,0
국제교육관,수,11,0
국제교육관,수,12,0
국제교육관,수,13,0
국제교육관,수,14,0
국제교육관,수,15,0
국제교육관,목,1,85
국제교육관,목,2,29
국제교육관,목,3,114
국제교육관,목,4,0
국제교육관,목,5,32
국제교육관,목,6,70
국제교육관,목,7,0
국제교육관,목,8,38
국제교육관,목,9,0
국제교육관,목,10,0
국제교육관,목,11,0
국제교육관,목,12,0
국제교육관,목,13,0
국제교육관,목,14,0
국제교육관,목,15,0
국제교육관,금,1,0
국제교육관,금,2,30
국제교육관,금,3,0
국제교육관,금,4,30
국제교육관,금,5,0
국제교육관,금,6,0
국제교육관,금,7,0
국제교육관,금,8,0
국제교육관,금,9,0
국제교육관,금,10,0
국제교육관,금,11,0
국제교육관,금,12,0
국제교육관,금,13,0
국제교육관,금,14,0
국제교육관,금,15,0
국제교육관,토,1,0
국제교육관,토,2,0
국제교육관,토,3,0
국제교육관,토,4,0
국제교육관,토,5,0
국제교육관,토,6,0
국제교육관,토,7,0
국제교육관,토,8,0
국제교육관,토,9,0
국제교육관,토,10,0
국제교육관,토,11,0
국제교육관,토,12,0
국제교육관,토,13,0
국제교육관,토,14,0
국제교육관,토,15,0
국제교육관,일,1,0
국제교육관,일,2,0
국제교육관,일,3,0
국제교육관,일,4,0
국제교육관,일,5,0
국제교육관,일,6,0
국제교육관,일,7,0
국제교육관,일,8,0
국제교육관,일,9,0
국제교육관,일,10,0
국제교육관,일,11,0
국제교육관,일,12,0
국제교육관,일,13,0
국제교육관,일,14,0
국제교육관,일,15,0
다니엘관,월,1,250
다니엘관,월,2,447
다니엘관,월,3,230
다니엘관,월,4,374
다니엘관,월,5,497
다니엘관,월,6,566
다니엘관,월,7,464
다니엘관,월,8,340
다니엘관,월,9,154
다니엘관,월,10,9
다니엘관,월,11,9
다니엘관,월,12,0
다니엘관,월,13,0
다니엘관,월,14,0
다니엘관,월,15,0
다니엘관,화,1,203
다니엘관,화,2,376
다니엘관,화,3,300
다니엘관,화,4,391
다니엘관,화,5,385
다니엘관,화,6,345
다니엘관,화,7,302
다니엘관,화,8,204
다니엘관,화,9,38
다니엘관,화,10,2
다니엘관,화,11,6
다니엘관,화,12,0
다니엘관,화,13,4
다니엘관,화,14,0
다니엘관,화,15,0
다니엘관,수,1,172
다니엘관,수,2,326
다니엘관,수,3,227
다니엘관,수,4,317
다니엘관,수,5,462
다니엘관,수,6,436
다니엘관,수,7,618
다니엘관,수,8,390
다니엘관,수,9,272
다니엘관,수,10,134
다니엘관,수,11,0
다니엘관,수,12,228
다니엘관,수,13,0
다니엘관,수,14,168
다니엘관,수,15,0
다니엘관,목,1,110
다니엘관,목,2,258
다니엘관,목,3,164
다니엘관,목,4,318
다니엘관,목,5,276
다니엘관,목,6,267
다니엘관,목,7,483
다니엘관,목,8,215
다니엘관,목,9,246
다니엘관,목,10,33
다니엘관,목,11,0
다니엘관,목,12,200
다니엘관,목,13,0
다니엘관,목,14,200
다니엘관,목,15,0
다니엘관,금,1,64
다니엘관,금,2,47
다니엘관,금,3,71
다니엘관,금,4,52
다니엘관,금,5,43
다니엘관,금,6,44
다니엘관,금,7,30
다니엘관,금,8,33
다니엘관,금,9,0
다니엘관,금,10,0
다니엘관,금,11,0
다니엘관,금,12,0
다니엘관,금,13,0
다니엘관,금,14,0
다니엘관,금,15,0
다니엘관,토,1,0
다니엘관,토,2,0
다니엘관,토,3,0
다니엘관,토,4,0
다니엘관,토,5,0
다니엘관,토,6,0
다니엘관,토,7,0
다니엘관,토,8,0
다니엘관,토,9,0
다니엘관,토,10,0
다니엘관,토,11,0
다니엘관,토,12,0
다니엘관,토,13,0
다니엘관,토,14,0
다니엘관,토,15,0
다니엘관,일,1,0
다니엘관,일,2,0
다니엘관,일,3,0
다니엘관,일,4,0
다니엘관,일,5,0
다니엘관,일,6,0
다니엘관,일,7,0
다니엘관,일,8,0
다니엘관,일,9,0
다니엘관,일,10,0
다니엘관,일,11,0
다니엘관,일,12,0
다니엘관,일,13,0
다니엘관,일,14,0
다니엘관,일,15,0
디자인관,월,1,113
디자인관,월,2,33
디자인관,월,3,80
디자인관,월,4,0
디자인관,월,5,94
디자인관,월,6,31
디자인관,월,7,20
디자인관,월,8,0
디자인관,월,9,56
디자인관,월,10,27
디자인관,월,11,0
디자인관,월,12,0
디자인관,월,13,0
디자인관,월,14,0
디자인관,월,15,0
디자인관,화,1,49
디자인관,화,2,0
디자인관,화,3,49
디자인관,화,4,0
디자인관,화,5,69
디자인관,화,6,0
디자인관,화,7,0
디자인관,화,8,0
디자인관,화,9,69
디자인관,화,10,0
디자인관,화,11,0
디자인관,화,12,0
디자인관,화,13,0
디자인관,화,14,0
디자인관,화,15,0
디자인관,수,1,73
디자인관,수,2,13
디자인관,수,3,84
디자인관,수,4,21
디자인관,수,5,12
디자인관,수,6,21
디자인관,수,7,30
디자인관,수,8,4
디자인관,수,9,22
디자인관,수,10,0
디자인관,수,11,0
디자인관,수,12,0
디자인관,수,13,0
디자인관,수,14,0
디자인관,수,15,0
디자인관,목,1,75
디자인관,목,2,0
디자인관,목,3,75
디자인관,목,4,0
디자인관,목,5,66
디자인관,목,6,0
디자인관,목,7,6
디자인관,목,8,3
디자인관,목,9,30
디자인관,목,10,27
디자인관,목,11,0
디자인관,목,12,0
디자인관,목,13,0
디자인관,목,14,0
디자인관,목,15,0
디자인관,금,1,16
디자인관,금,2,0
디자인관,금,3,16
디자인관,금,4,0
디자인관,금,5,64
디자인관,금,6,0
디자인관,금,7,0
디자인관,금,8,1
디자인관,금,9,63
디자인관,금,10,0
디자인관,금,11,0
디자인관,금,12,0
디자인관,금,13,0
디자인관,금,14,0
디자인관,금,15,0
디자인관,토,1,0
디자인관,토,2,0
디자인관,토,3,0
디자인관,토,4,0
디자인관,토,5,0
디자인관,토,6,0
디자인관,토,7,0
디자인관,토,8,0
디자인관,토,9,0
디자인관,토,10,0
디자인관,토,11,0
디자인관,토,12,0
디자인관,토,13,0
디자인관,토,14,0
디자인관,토,15,0
디자인관,일,1,0
디자인관,일,2,0
디자인관,일,3,0
디자인관,일,4,0
디자인관,일,5,0
디자인관,일,6,0
디자인관,일,7,0
디자인관,일,8,0
디자인관,일,9,0
디자인관,일,10,0
디자인관,일,11,0
디자인관,일,12,0
디자인관,일,13,0
디자인관,일,14,0
디자인관,일,15,0
바울관,월,1,215
바울관,월,2,39
바울관,월,3,236
바울관,월,4,330
바울관,월,5,162
바울관,월,6,211
